time;BE;DE;DK;FI;FR;GB;IE;NL;NO;SE
01.01.2015 00:00;0.511642;0.70304;0.59282;0.585176;0.589907;0.752903;0.669056;0.517469;0.828385;0.77395
01.01.2015 01:00;0.503592;0.687459;0.576936;0.589546;0.570515;0.739488;0.703052;0.518997;0.853072;0.775568
01.01.2015 02:00;0.523792;0.653456;0.615392;0.508441;0.527925;0.746524;0.737531;0.539569;0.874582;0.7856
01.01.2015 03:00;0.540368;0.680278;0.635378;0.420421;0.503343;0.747861;0.717766;0.546025;0.907376;0.808957
01.01.2015 04:00;0.518085;0.72718;0.662166;0.365158;0.525047;0.734036;0.711939;0.538493;0.941954;0.819043
01.01.2015 05:00;0.521509;0.749024;0.697194;0.389992;0.509149;0.735832;0.820438;0.575185;0.96364;0.833677
01.01.2015 06:00;0.565908;0.7706;0.738777;0.404224;0.466858;0.765002;0.872667;0.605663;0.936144;0.84715
01.01.2015 07:00;0.598879;0.80102;0.793646;0.379587;0.463931;0.794866;0.91561;0.617772;0.880921;0.878097
01.01.2015 08:00;0.615223;0.782809;0.786257;0.319773;0.591278;0.839255;0.945641;0.62915;0.869181;0.912901
01.01.2015 09:00;0.60923;0.786535;0.785494;0.291167;0.484404;0.872072;0.967812;0.614384;0.878075;0.927199
01.01.2015 10:00;0.607963;0.809696;0.784576;0.279391;0.225556;0.894342;0.978389;0.650577;0.864838;0.937017
01.01.2015 11:00;0.626852;0.831043;0.775632;0.277021;0.188308;0.903486;0.979312;0.698007;0.817223;0.939587
01.01.2015 12:00;0.686743;0.824429;0.783938;0.256635;0.211987;0.916518;0.979387;0.709168;0.790313;0.959069
01.01.2015 13:00;0.731332;0.837499;0.797789;0.243014;0.27009;0.930156;0.976891;0.733508;0.851711;0.960328
01.01.2015 14:00;0.757314;0.859856;0.796766;0.238199;0.412822;0.942829;0.969356;0.767456;0.880356;0.944607
01.01.2015 15:00;0.786876;0.881306;0.801594;0.252589;0.598098;0.947695;0.965283;0.805299;0.922677;0.924556
01.01.2015 16:00;0.820687;0.902163;0.832736;0.281528;0.692058;0.953;0.965809;0.838022;0.961483;0.932185
01.01.2015 17:00;0.853407;0.929488;0.864916;0.300048;0.717068;0.959284;0.963828;0.873468;0.98634;0.945863
01.01.2015 18:00;0.877114;0.953088;0.887204;0.307229;0.738535;0.965352;0.958803;0.90266;0.991226;0.937878
01.01.2015 19:00;0.896686;0.965368;0.906881;0.309375;0.777932;0.970075;0.940365;0.926314;0.991003;0.924727
01.01.2015 20:00;0.909395;0.972663;0.928944;0.334067;0.810014;0.970611;0.89439;0.934979;0.990886;0.93294
01.01.2015 21:00;0.922187;0.976273;0.948055;0.381797;0.829411;0.968157;0.858881;0.940932;0.984994;0.958131
01.01.2015 22:00;0.932904;0.978974;0.958135;0.429044;0.853051;0.963392;0.865326;0.949806;0.956842;0.943549
01.01.2015 23:00;0.940453;0.980828;0.965749;0.445022;0.854348;0.963857;0.854665;0.956573;0.901748;0.912701
